allocation_key,deal_key,person_name,amount,quantity_basis
SUP-UMAR-A1,SUP-UMAR,Сергей,4322.5,
SUP-UMAR-A2,SUP-UMAR,Ярослав П,5695.125,
SUP-UMAR-A3,SUP-UMAR,Максим Т,2114.5,
SUP-UMAR-A4,SUP-UMAR,Ярослав Е,15078.9375,
SUP-UMAR-A5,SUP-UMAR,Артём Ч,15078.9375,
SUP-ALEXEY-A1,SUP-ALEXEY,Сергей,3535,
SUP-ALEXEY-A2,SUP-ALEXEY,Ярослав П,1590.75,
SUP-ALEXEY-A3,SUP-ALEXEY,Максим Т,707,
SUP-ALEXEY-A4,SUP-ALEXEY,Ярослав Е,4153.625,
SUP-ALEXEY-A5,SUP-ALEXEY,Артём Ч,4153.625,
SUP-DMITRIY-A1,SUP-DMITRIY,Сергей,14380,
SUP-DMITRIY-A2,SUP-DMITRIY,Ярослав П,5892,
SUP-DMITRIY-A3,SUP-DMITRIY,Максим Т,2683,
SUP-DMITRIY-A4,SUP-DMITRIY,Ярослав Е,30705,
SUP-NALMSK-A1,SUP-NALMSK,Сергей,18364.5,
SUP-NALMSK-A2,SUP-NALMSK,Ярослав П,13493.025,
SUP-NALMSK-A3,SUP-NALMSK,Максим Т,5415.9,
SUP-NALMSK-A4,SUP-NALMSK,Ярослав Е,35522.2875,
SUP-NALMSK-A5,SUP-NALMSK,Артём Ч,35522.2875,
SUP-ELENA-A1,SUP-ELENA,Сергей,13117.5,
SUP-ELENA-A2,SUP-ELENA,Ярослав П,9637.875,
SUP-ELENA-A3,SUP-ELENA,Максим Т,3868.5,
SUP-ELENA-A4,SUP-ELENA,Ярослав Е,25373.0625,
SUP-ELENA-A5,SUP-ELENA,Артём Ч,25373.0625,
